# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	59920
#@/user_id	a3f7dcb2-0928-4193-a2ba-17639e20d824
a 	啊	c=69 d=1.27665 t=59808
ce 	測	c=21 d=0.0634448 t=59920
ce ce 	測測	c=2 d=1 t=44154
ce chu lai 	測出來	c=1 d=1 t=45083
ce dao 	測到	c=4 d=2.78747 t=25974
ce de 	測得	c=1 d=1 t=21410
ce dian 	測點	c=1 d=1 t=24153
ce ge 	測個	c=1 d=1 t=4108
ce guo 	測過	c=1 d=1 t=28796
ce le 	策勒	c=1 d=1 t=4548
ce li suo 	測利索	c=1 d=1 t=56721
ce lve 	策略	c=8 d=1.00996 t=57603
ce pan 	測盤	c=1 d=1 t=47012
ce qian 	測鉛	c=0 d=0.1 t=4855
ce shi 	測試	c=445 d=2.68794 t=59920
ce shi gong ju 	測試工具	c=1 d=1 t=45906
ce shi guo 	測試過	c=1 d=1 t=21584
ce shi guo cheng 	測試過程	c=1 d=1 t=45461
ce shi hou 	測試後	c=1 d=1 t=47079
ce shi huan jing 	測試環境	c=1 d=1 t=27881
ce shi ji 	測試機	c=2 d=1 t=54956
ce shi jie guo 	測試結果	c=1 d=1 t=11325
ce shi le 	測試了	c=6 d=1 t=58761
ce shi liang 	測試量	c=1 d=1 t=29104
ce shi ne 	測試呢	c=1 d=1 t=16012
ce shi shi hou 	測試時候	c=2 d=1 t=34923
ce shi wan 	測試完	c=1 d=1 t=33480
ce shi xiang 	測試項	c=1 d=1 t=44825
ce shi zhong 	測試中	c=1 d=1 t=43180
ce su 	測速	c=1 d=1.42347e-07 t=59920
ce wan 	測完	c=2 d=1 t=56722
ce xia 	測下	c=1 d=1 t=21769
ce yi xia 	測一下	c=4 d=0.637628 t=59920
ce zhe 	測着	c=1 d=1 t=21042
ce zhong yu 	側重於	c=1 d=1 t=41993
ceng 	層	c=47 d=4.18544 t=59047
ceng 	曾	c=1 d=1 t=26159
ceng jing 	曾經	c=5 d=0.00700003 t=59920
ceng mian 	層面	c=2 d=1.94649 t=44090
ceng ruo shun 	層若順	c=1 d=1 t=28931
cha 	差	c=11 d=1.05215 t=47126
cha 	查	c=6 d=1.00021 t=53682
cha bie 	差別	c=7 d=0.215456 t=59920
cha bu duo 	差不多	c=7 d=1 t=41260
cha bu duo me 	差不多麼	c=1 d=1 t=38762
cha chu 	查出	c=1 d=1 t=26176
cha dao 	查到	c=3 d=1.97045 t=30603
cha de 	差得	c=1 d=1 t=27524
cha dian 	差點	c=2 d=1 t=58266
cha jian 	插件	c=7 d=0.0261214 t=59920
cha ju 	差距	c=1 d=1 t=10399
cha kan 	查看	c=24 d=1.0018 t=55044
cha le 	查了	c=6 d=1.98511 t=56433
cha ru 	插入	c=9 d=0.331211 t=59920
cha shou 	查收	c=7 d=1 t=47074
cha xun 	查詢	c=7 d=1.00083 t=59186
cha yi 	差異	c=3 d=1 t=47634
cha yue 	查閱	c=2 d=0.600496 t=59920
chai cheng 	拆成	c=2 d=1 t=53216
chai fen 	拆分	c=3 d=1 t=43627
chan huo 	摻和	c=1 d=1 t=38778
chan pin 	產品	c=26 d=1.00001 t=57129
chan pin jing li 	產品經理	c=1 d=1 t=53714
chan sheng 	產生	c=8 d=1 t=53368
chang 	廠	c=0 d=0.1 t=13316
chang 	長	c=6 d=3.77321e-06 t=59920
chang da 	長達	c=1 d=1 t=29323
chang du 	長度	c=10 d=1.07654 t=50522
chang jian 	常見	c=4 d=1.08892 t=54236
chang jing 	場景	c=4 d=1 t=53363
chang le 	長了	c=0 d=0.1 t=11305
chang lian jie 	長鏈接	c=1 d=3.79212e-05 t=59920
chang liang 	常量	c=1 d=1 t=46622
chang shi 	嘗試	c=55 d=0.015845 t=59920
chang shi fu xian 	嘗試復現	c=1 d=1 t=53102
chang shi guo 	嘗試過	c=1 d=1 t=20545
chang shi jian 	長時間	c=4 d=8.56609e-05 t=59920
chang shi le 	嘗試了	c=2 d=1.93239 t=10185
chang shi yi xia 	嘗試一下	c=1 d=0.00404611 t=59920
chang tai 	常態	c=1 d=1 t=9071
chang yong 	常用	c=2 d=1 t=43088
chao 	超	c=0 d=0.1 t=47469
chao chang 	超長	c=4 d=1 t=39227
chao chu 	超出	c=2 d=0.1 t=30853
chao chu le 	超出了	c=1 d=1 t=30854
chao da 	超大	c=1 d=1 t=36208
chao duo 	超多	c=1 d=1 t=30791
chao guo 	超過	c=12 d=1 t=57280
chao kuai 	超塊	c=4 d=1.39528e-07 t=59920
chao kuan 	超寬	c=1 d=0.1 t=30792
chao kuan biao 	超寬表	c=1 d=1 t=21531
chao kuan lie 	超寬列	c=1 d=1 t=30793
chao le 	抄了	c=1 d=1 t=54636
chao le 	超了	c=1 d=1 t=57746
chao shang 	抄上	c=1 d=1 t=48653
chao shi 	超時	c=3 d=2.61753 t=17898
chao xian 	超限	c=1 d=1 t=19721
chao xian cheng 	超線程	c=1 d=1 t=47470
chao xie 	抄寫	c=1 d=1 t=41065
che 	車	c=3 d=1 t=47045
che di 	徹底	c=3 d=0.0086517 t=59920
che jia 	車價	c=0 d=0.1 t=18155
che le 	撤了	c=3 d=1 t=40120
chen 	趁	c=2 d=0.00398587 t=59920
chen ji 	趁機	c=1 d=1 t=34898
chen jie 	陳婕	c=2 d=1 t=56851
chen qing 	陳情	c=1 d=1 t=39846
chen shu 	陳述	c=1 d=1 t=29019
chen zhe 	趁着	c=1 d=1 t=6618
cheng 	呈	c=1 d=1 t=16705
cheng 	成	c=27 d=0.00023056 t=59920
cheng 	程	c=1 d=1 t=50423
cheng ben 	成本	c=3 d=1 t=48595
cheng du 	程度	c=6 d=1 t=53378
cheng du shang 	程度上	c=1 d=1 t=19751
cheng gong 	成功	c=11 d=0.000153959 t=59920
cheng gong me 	成功麼	c=1 d=1 t=17396
cheng le 	成了	c=2 d=0.1 t=55169
cheng lia 	成倆	c=1 d=1 t=43108
cheng lia zai 	成倆在	c=1 d=1 t=42567
cheng liang 	程亮	c=16 d=1 t=53953
cheng nuo 	承諾	c=1 d=1 t=49643
cheng se 	橙色	c=1 d=1 t=41585
cheng wei 	成爲	c=10 d=1 t=50194
cheng wei le 	成爲了	c=1 d=1 t=42800
cheng xiao 	成效	c=1 d=1 t=12256
cheng xu 	程序	c=5 d=5.6865e-07 t=59920
cheng yi 	乘以	c=1 d=1 t=32509
cheng yin 	成因	c=1 d=1 t=13220
cheng yuan 	成員	c=15 d=0.000575462 t=59920
cheng yuan bian liang 	成員變量	c=1 d=1 t=26482
chi 	吃	c=1 d=1 t=11243
chi 	池	c=2 d=1 t=53247
chi bao 	吃飽	c=1 d=1 t=13365
chi fan 	吃飯	c=7 d=1 t=36253
chi fan le 	吃飯了	c=1 d=1 t=27569
chi fan qian 	吃飯前	c=1 d=1 t=31975
chi hao 	吃好	c=1 d=1 t=36335
chi jin 	吃緊	c=2 d=1 t=27965
chi jiu 	持久	c=0 d=1.84614e-08 t=59920
chi jiu hua 	持久化	c=2 d=1 t=32267
chi jiu xin xi 	持久信息	c=1 d=1.85539e-07 t=59920
chi ping 	持平	c=1 d=1 t=7177
chi suo 	持鎖	c=3 d=2.75273 t=46336
chi wan 	吃完	c=0 d=0.1 t=14879
chi wan fan 	吃完飯	c=1 d=1 t=32218
chi xu 	持續	c=1 d=1 t=5619
chi you 	持有	c=5 d=1.00015 t=27258
chi you suo 	持有鎖	c=1 d=1 t=25462
chong 	重	c=1 d=0.1 t=17132
chong bian 	重編	c=1 d=1 t=30632
chong bo 	重播	c=1 d=1 t=22424
chong ce 	重測	c=5 d=1.38674 t=57194
chong dian 	充電	c=1 d=1 t=20363
chong diao 	沖掉	c=0 d=0.1 t=8981
chong diao le 	沖掉了	c=1 d=1 t=8982
chong die 	重疊	c=1 d=1 t=21243
chong ding xiang 	重定向	c=1 d=1 t=46627
chong fa 	重發	c=1 d=1 t=59750
chong fa le 	重發了	c=1 d=1 t=37638
chong fen 	充分	c=1 d=1 t=47078
chong fen pei 	重分配	c=2 d=1.90032 t=17154
chong fu 	重複	c=12 d=0.366045 t=59920
chong fu le 	重複了	c=2 d=1.97531 t=26258
chong gou 	重構	c=22 d=0.0138509 t=59920
chong gou zhong 	重構中	c=1 d=0.0169075 t=59920
chong lian 	重連	c=1 d=1 t=11558
chong ming ming 	重命名	c=2 d=1 t=47097
chong qi 	重啓	c=17 d=1.13266 t=57813
chong qi le 	重啓了	c=4 d=1 t=57816
chong shi 	重試	c=5 d=1.57291e-05 t=59920
chong tu 	衝突	c=4 d=0.414783 t=59920
chong tu de 	衝突的	c=1 d=1 t=31672
chong tu le 	衝突了	c=1 d=1 t=40105
chong xian 	重現	c=2 d=1 t=57190
chong xie 	重寫	c=4 d=1 t=41644
chong xin 	重新	c=43 d=0.00408677 t=59920
chong xin bian yi 	重新編譯	c=1 d=1 t=36242
chong yong 	重用	c=1 d=1 t=3844
chong zhuang 	重裝	c=5 d=1 t=32427
chong zuo 	重做	c=1 d=1 t=17678
chou chou 	瞅瞅	c=4 d=1 t=39427
chou chu 	抽出	c=2 d=1.01337 t=11143
chou chu lai 	抽出來	c=1 d=1 t=26261
chou dian 	抽點	c=1 d=1 t=38027
chou ge 	抽個	c=1 d=0.00311976 t=59920
chou kong 	抽空	c=2 d=1 t=35263
chou qu 	抽取	c=2 d=1 t=46259
chou ren 	愁人	c=1 d=1 t=37496
chou shi jian 	抽時間	c=1 d=1 t=38070
chou xiang 	抽象	c=10 d=3.39892 t=59637
chou xiang chu 	抽象出	c=1 d=1 t=16742
chou xiang wen jian xi tong 	抽象文件系統	c=2 d=1.99501 t=59060
chou xie 	抽些	c=1 d=1 t=5636
chu 	出	c=25 d=9.07643e-08 t=59920
chu 	初	c=3 d=1.97533 t=22961
chu 	處	c=3 d=1 t=46590
chu 	除	c=2 d=3.50057e-05 t=59920
chu bu 	初步	c=5 d=1.57984 t=47664
chu chai 	出差	c=2 d=1.98511 t=37409
chu cuo 	出錯	c=35 d=0.00593146 t=59920
chu cuo chu li 	出錯處理	c=1 d=1 t=33596
chu cuo le 	出錯了	c=4 d=1 t=29830
chu cuo ti shi 	出錯提示	c=1 d=0.0596059 t=59920
chu cuo xin xi 	出錯信息	c=1 d=1 t=49713
chu de 	出的	c=1 d=1 t=39252
chu de cuo 	出的錯	c=1 d=1 t=27679
chu fa 	觸發	c=17 d=0.0354373 t=59920
chu fei 	除非	c=7 d=1 t=45219
chu ge 	出個	c=1 d=1 t=17724
chu jie guo le 	出結果了	c=1 d=1 t=44358
chu kou 	出口	c=1 d=1 t=54610
chu lai 	出來	c=35 d=0.0397558 t=59920
chu le 	出了	c=8 d=1.003 t=53662
chu le 	除了	c=12 d=1 t=55440
chu li 	處理	c=196 d=0.740034 t=59920
chu li hao 	處理好	c=1 d=1 t=56480
chu li man 	處理慢	c=1 d=1 t=55555
chu li wan 	處理完	c=1 d=1 t=40082
chu li wan le 	處理完了	c=1 d=1 t=34104
chu men 	出門	c=1 d=1 t=59568
chu peng 	觸碰	c=1 d=1 t=46775
chu qu 	出去	c=7 d=1 t=54810
chu shi 	初始	c=0 d=0.1 t=27738
chu shi gu 	初始股	c=1 d=1 t=27739
chu shi hua 	初始化	c=23 d=7.8597e-07 t=59920
chu shi hua deng dai 	初始化等待	c=1 d=1 t=38225
chu wen ti 	出問題	c=11 d=1 t=35737
chu wen ti le 	出問題了	c=3 d=1 t=29381
chu xian 	出現	c=31 d=0.401567 t=59920
chu xian wen ti 	出現問題	c=1 d=1 t=52077
chu yu 	出於	c=5 d=0.000590229 t=59920
chu yu 	處於	c=15 d=1.11128e-06 t=59920
chu zai 	處在	c=2 d=1 t=57823
chu zhong 	初衷	c=2 d=1 t=23557
chuan di 	傳遞	c=4 d=0.1 t=40327
chuan di gei 	傳遞給	c=2 d=1 t=52353
chuan di xing 	傳遞性	c=1 d=1 t=40327
chuan le 	傳了	c=1 d=1 t=56548
chuan ru 	傳入	c=7 d=0.00115345 t=59920
chuan shu 	傳輸	c=11 d=1 t=58832
chuan shu su du 	傳輸速度	c=0 d=0.1 t=47310
chuan song 	傳送	c=3 d=1 t=39819
chuan xing 	串行	c=29 d=2.93457 t=59688
chuang jian 	創建	c=64 d=0.426312 t=59920
chuang kou 	窗口	c=13 d=1.956 t=55722
chui guo 	吹過	c=0 d=0.1 t=15559
chuo 	戳	c=1 d=1 t=18346
ci 	次	c=9 d=1.00002 t=59433
ci 	此	c=29 d=0.0481444 t=59920
ci 	詞	c=3 d=1 t=54399
ci chu 	此處	c=1 d=1 t=45570
ci ci 	此次	c=11 d=7.86896e-05 t=59920
ci fa 	詞法	c=1 d=1 t=21356
ci fang 	次方	c=1 d=3.98723e-07 t=59920
ci hou 	此後	c=1 d=1 t=18901
ci lei 	此類	c=1 d=1 t=30103
ci pan 	磁盤	c=26 d=0.087127 t=59920
ci pan lei 	磁盤類	c=1 d=1 t=53803
ci pan man 	磁盤滿	c=2 d=1.81058 t=29874
ci shi 	此時	c=6 d=0.0340475 t=59920
ci shu 	次數	c=2 d=1 t=29113
ci wai 	此外	c=20 d=0.113608 t=59920
ci wen ti 	此問題	c=7 d=0.0265162 t=59920
ci zhi 	此值	c=1 d=1 t=57281
ci zhi qian 	此之前	c=1 d=1 t=35153
cong 	從	c=153 d=0.750867 t=59920
cong er 	從而	c=23 d=1.0082 t=56556
cong lai 	從來	c=2 d=1 t=14434
cong ling yi ge 	從另一個	c=1 d=1 t=43010
cong na 	從哪	c=1 d=1 t=19766
cong shi 	從事	c=1 d=1 t=50738
cong tou 	從頭	c=3 d=1 t=42028
cong wei 	從未	c=2 d=1.97531 t=37183
cong zhong 	從中	c=4 d=1 t=47743
cou gou 	湊夠	c=1 d=1 t=49448
cou shu 	湊數	c=1 d=1 t=8709
cu bao 	粗暴	c=1 d=1 t=10643
cu cao 	粗糙	c=1 d=1 t=48030
cu kuang 	粗狂	c=1 d=1 t=27469
cu ti zi 	粗體字	c=1 d=1 t=36832
cuan 	竄	c=1 d=1 t=35213
cui cu 	催促	c=1 d=1 t=35698
cun 	存	c=2 d=1 t=37756
cun cheng 	存成	c=2 d=1 t=46459
cun chu 	存儲	c=47 d=0.465715 t=59920
cun chu dao 	存儲到	c=2 d=6.08411e-08 t=59920
cun chu guo cheng 	存儲過程	c=1 d=1 t=50319
cun chu le 	存儲了	c=1 d=1 t=34522
cun chu shi 	存儲時	c=1 d=1 t=30864
cun chu xi tong 	存儲系統	c=1 d=1 t=58448
cun chu yu 	存儲與	c=1 d=1 t=40538
cun chu zai 	存儲在	c=1 d=0.1 t=49077
cun chu zai le 	存儲在了	c=1 d=1 t=49078
cun dao 	存到	c=4 d=7.21153e-08 t=59920
cun dao 	村到	c=1 d=7.17556e-08 t=59920
cun fang 	存放	c=11 d=1.00199 t=58613
cun fang yu 	存放於	c=4 d=1 t=58940
cun fang yu 	存放與	c=1 d=1 t=41580
cun fang zai 	存放在	c=1 d=1 t=58639
cun ru 	存入	c=2 d=0.000188354 t=59920
cun you 	存有	c=1 d=1 t=28621
cun zai 	存在	c=16 d=0.0812682 t=59920
cuo 	錯	c=4 d=1 t=35459
cuo bie zi 	錯別字	c=1 d=1 t=51313
cuo de 	錯的	c=1 d=1 t=12745
cuo le 	錯了	c=10 d=1 t=58415
cuo shi 	措施	c=1 d=1 t=17895
cuo wu 	錯誤	c=111 d=4.0589e-05 t=59920
cuo wu le 	錯誤了	c=1 d=1 t=32280
cuo wu ma 	錯誤碼	c=7 d=2.45102 t=20875
da 	大	c=15 d=0.0175975 t=59920
da 	打	c=5 d=1.01341 t=30383
da 	搭	c=1 d=1 t=28597
da ai 	大礙	c=1 d=1 t=12409
da an 	答案	c=2 d=2.54193e-05 t=59920
da ba 	打吧	c=1 d=1 t=55013
da bao 	打包	c=8 d=0.26982 t=59920
da bian 	答辯	c=2 d=1 t=24702
da bu ding 	打補丁	c=1 d=1 t=53582
da da 	大大	c=2 d=1 t=17812
da dao 	打到	c=1 d=1 t=56912
da dao 	達到	c=7 d=1.9802 t=48363
da dian hua 	打電話	c=2 d=1 t=15292
da duan 	大段	c=1 d=1 t=8744
da duan 	大端	c=1 d=1 t=57847
da duo 	大多	c=6 d=0.217636 t=59920
da duo shu 	大多數	c=4 d=4.9804e-06 t=59920
da fan wei 	大範圍	c=1 d=1 t=7793
da fu 	大幅	c=3 d=1 t=44616
da gai 	大概	c=25 d=1.00362 t=55942
da gai gai le 	大概改了	c=1 d=1 t=14277
da ge 	打個	c=1 d=1 t=45597
da gui mo 	大規模	c=19 d=0.119209 t=59920
da gui mo ji qun 	大規模集羣	c=2 d=0.000773179 t=59920
da hao 	打好	c=2 d=1 t=16713
da jia 	大家	c=39 d=0.484557 t=59920
da jia hao 	大家好	c=5 d=0.666977 t=59920
da jian 	搭建	c=6 d=0.0020601 t=59920
da jian le 	搭建了	c=2 d=1 t=36167
da jiao dao 	打交道	c=1 d=3.91772e-06 t=59920
da ka 	打卡	c=10 d=3.72856 t=59574
da ka le 	打卡了	c=1 d=1 t=57641
da kai 	打開	c=56 d=0.0346391 t=59920
da kai le 	打開了	c=1 d=1 t=22285
da kuai 	大塊	c=2 d=1 t=46371
da le 	搭了	c=1 d=0.00104368 t=59920
da liang 	大量	c=26 d=0.0699784 t=59920
da luan 	打亂	c=1 d=1 t=22843
da qiu 	打球	c=7 d=1 t=44009
da ren wu 	大任務	c=3 d=2.14748 t=55376
da shang 	打上	c=1 d=1 t=21524
da suan 	打算	c=3 d=0.1 t=58174
da ti 	大體	c=5 d=1.00468 t=33285
da wen jian 	大文件	c=3 d=1.03239 t=48008
da wen jian xi tong 	大文件系統	c=1 d=1 t=42580
da wen ti 	大問題	c=1 d=1 t=46875
da wo 	打我	c=1 d=1 t=20404
da xiao 	大小	c=67 d=0.000343602 t=59920
da ya 	打壓	c=0 d=0.1 t=38550
da ye 	大頁	c=1 d=1 t=47375
da yi xie 	大一些	c=1 d=1 t=23547
da yin 	打印	c=6 d=1 t=53033
da yin chu 	打印出	c=1 d=1 t=12543
da yin le 	打印了	c=1 d=1 t=30192
da yu 	大於	c=3 d=1 t=57536
da yu 	大魚	c=1 d=1 t=36330
da yue 	大約	c=1 d=1 t=20277
da zhi 	大致	c=1 d=1.71274e-07 t=59920
dai 	帶	c=4 d=1 t=29259
dai 	待	c=8 d=1.01916 t=47787
dai biao 	代表	c=1 d=1 t=17500
dai ce shi 	待測試	c=1 d=1 t=44923
dai cha 	待查	c=1 d=1 t=37464
dai fan 	帶飯	c=0 d=0.1 t=11773
dai fan le 	帶飯了	c=1 d=1 t=11774
dai ge 	戴個	c=1 d=1 t=27562
dai jia 	代價	c=3 d=1 t=41292
dai kuan 	帶寬	c=7 d=1.956 t=27962
dai lai 	帶來	c=13 d=1 t=59738
dai ma 	代碼	c=262 d=0.973745 t=59920
dai ma shi 	代碼時	c=1 d=1 t=7498
dai mian 	代面	c=1 d=1 t=15583
dai shang 	帶上	c=1 d=0.1 t=51869
dai shang le 	帶上了	c=1 d=1 t=51870
dai ta 	帶他	c=0 d=0.1 t=41523
dai ta wan 	帶他完	c=1 d=1 t=41524
dai you 	帶有	c=1 d=1 t=15160
dai zhe 	戴着	c=1 d=1 t=22414
dan 	但	c=264 d=0.871025 t=59920
dan 	單	c=11 d=1 t=59202
dan biao 	單表	c=1 d=1 t=48034
dan chun 	單純	c=4 d=1 t=59712
dan dian 	單點	c=10 d=1.86071 t=59699
dan du 	單獨	c=29 d=1.03051 t=59536
dan ge 	單個	c=13 d=0.000157671 t=59920
dan ge wen jian 	單個文件	c=1 d=1 t=43197
dan hang 	單行	c=4 d=1 t=57305
dan ji 	單機	c=107 d=3.64199 t=59920
dan ji de 	單機的	c=3 d=1 t=40652
dan jie dian 	但節點	c=1 d=1 t=40027
dan kan 	但看	c=2 d=1.9802 t=32677
dan qian 	丹鉛	c=1 d=1 t=41867
dan shi 	但是	c=39 d=0.18452 t=59920
dan tiao 	單條	c=3 d=1 t=48118
dan wei 	單位	c=9 d=1.00028 t=48145
dan xian cheng 	但線程	c=2 d=1.8781 t=4561
dan xin 	擔心	c=7 d=0.0284388 t=59920
dan yi 	單一	c=4 d=1 t=52655
dan yuan 	單元	c=1 d=4.99329e-08 t=59920
dan yuan ce shi 	單元測試	c=1 d=1 t=41668
dan zai 	但在	c=1 d=0.125556 t=59920
dang 	宕	c=1 d=1 t=37075
dang 	當	c=46 d=0.293758 t=59920
dang 	黨	c=1 d=1 t=47070
dang cheng 	當成	c=1 d=1 t=39138
dang chu 	當初	c=5 d=2.84736 t=41294
dang ji 	宕機	c=79 d=1.46896 t=57897
dang ji de 	宕機的	c=1 d=1 t=44227
dang ji le 	宕機了	c=1 d=1 t=37063
dang mian 	當面	c=1 d=1 t=47421
dang nian 	當年	c=1 d=1 t=15241
dang qian 	當前	c=51 d=0.0143935 t=59920
dang qian yong tu 	當前用途	c=1 d=1 t=58439
dang ran 	當然	c=2 d=1 t=44314
dang shi 	當時	c=26 d=1.8212 t=56310
dang ta 	當他	c=1 d=1 t=50263
dang zhong 	當中	c=1 d=1 t=35114
dang zhu 	擋住	c=1 d=1 t=29300
dang zuo 	當作	c=2 d=1 t=53424
dao 	倒	c=1 d=1 t=32359
dao 	到	c=117 d=0.509972 t=59920
dao ban 	盜版	c=2 d=1.99501 t=9057
dao che 	倒車	c=1 d=1.09501 t=18152
dao che ying xiang 	倒車影像	c=1 d=1 t=18153
dao chu 	到處	c=1 d=1 t=12949
dao chu 	導出	c=1 d=1 t=52360
dao da 	到達	c=3 d=1 t=57375
dao di 	到底	c=2 d=1 t=46338
dao gong si 	到公司	c=1 d=1 t=38384
dao hang 	導航	c=6 d=1 t=18150
dao lai 	到來	c=1 d=1 t=23124
dao le 	到了	c=14 d=1 t=59566
dao ru 	導入	c=7 d=0.00657159 t=59920
dao shi 	倒是	c=2 d=1.8825 t=29875
dao shi hou 	到時候	c=5 d=1 t=52855
dao teng 	倒騰	c=2 d=1 t=21667
dao wei 	到尾	c=2 d=1.86502 t=35640
dao zhi 	導致	c=86 d=0.44308 t=59920
de 	得	c=22 d=1.00004 t=56082
de 	的	c=4102 d=14.0846 t=59920
de bu dao 	得不到	c=1 d=1 t=11450
de bu guo 	的不過	c=1 d=1 t=26832
de dao 	得到	c=8 d=0.551601 t=59920
de hua 	的話	c=7 d=0.1 t=51781
de le 	得了	c=2 d=1 t=43463
dei 	得	c=1 d=1 t=52880
deng 	等	c=94 d=0.644821 t=59920
deng dai 	等待	c=33 d=0.20833 t=59920
deng dao 	等到	c=4 d=0.00860854 t=59920
deng deng 	等等	c=38 d=0.408227 t=59920
deng hui 	等會	c=4 d=1 t=55857
deng hui ba 	等會吧	c=1 d=1 t=13483
deng hui tou 	等回頭	c=1 d=1 t=10285
deng ji 	等級	c=1 d=1.09753 t=57293
deng jia 	等價	c=0 d=0.1 t=48929
deng jia yu 	等價於	c=1 d=1 t=48930
deng kuan 	等款	c=1 d=1 t=15554
deng lu 	登錄	c=1 d=1 t=33055
deng ta 	等他	c=1 d=1 t=40081
deng ta men 	等他們	c=1 d=1 t=52984
deng wo 	等我	c=2 d=1.90032 t=51612
deng xia 	燈下	c=2 d=1 t=56898
deng xia 	等下	c=1 d=1 t=29780
deng yu 	等於	c=2 d=1 t=47361
deng zhe 	等着	c=6 d=1.05234 t=35625
di 	低	c=6 d=2.11758 t=37831
di 	地	c=2 d=1 t=41197
di 	底	c=1 d=1 t=33733
di 	第	c=9 d=1 t=57116
di ceng 	底層	c=8 d=1 t=52753
di er 	第二	c=2 d=1 t=37499
di er ge 	第二個	c=1 d=1 t=17332
di er lie 	第二列	c=1 d=1 t=10363
di er tian 	第二天	c=2 d=1 t=59576
di fang 	地方	c=61 d=0.206547 t=59920
di jin 	遞進	c=1 d=1 t=14623
di pan 	底盤	c=1 d=1 t=37432
di san 	第三	c=2 d=0.1 t=59846
di san fang 	第三方	c=11 d=0.745112 t=59920
di san fang ku 	第三方庫	c=8 d=1.95209 t=59872
di san ge 	第三個	c=1 d=1 t=4658
di san hang 	第三行	c=1 d=1 t=10423
di san ku 	第三庫	c=1 d=1 t=59847
di tou 	低頭	c=1 d=1 t=23247
di xia 	地下	c=1 d=1 t=13548
di xiao 	低效	c=1 d=1 t=42986
di yi 	第一	c=5 d=4.36272e-08 t=59920
di yi ban 	第一版	c=1 d=1 t=40635
di yi bu 	第一步	c=2 d=1 t=40610
di yi ci 	第一次	c=3 d=1.15663e-06 t=59920
di yi ge 	第一個	c=6 d=1 t=46919
di yi jian shi 	第一件事	c=1 d=1 t=58034
di yi kuai 	第一塊	c=1 d=4.38459e-07 t=59920
di yi lie 	第一列	c=1 d=1 t=10358
di yi yan 	第一眼	c=1 d=1 t=14116
di zhi 	地址	c=25 d=1.00004 t=56251
di zhi zhi zhen 	地址指針	c=1 d=1 t=46585
dian 	店	c=2 d=1 t=47047
dian 	點	c=70 d=0.641282 t=59920
dian ban 	點半	c=1 d=1 t=37803
dian hua 	電話	c=1 d=7.67598e-07 t=59920
dian ji 	點擊	c=1 d=1 t=56262
dian lu 	電路	c=1 d=0.852144 t=59920
dian nao 	電腦	c=1 d=1 t=39457
dian qian 	點錢	c=0 d=0.1 t=20383
dian xing 	典型	c=4 d=0.000113922 t=59920
dian zi 	電子	c=1 d=1 t=52513
diao 	掉	c=20 d=1 t=58179
diao 	調	c=2 d=1 t=48494
diao cha 	調查	c=27 d=0.063609 t=59920
diao du 	調度	c=18 d=0.247547 t=59920
diao du ce lve 	調度策略	c=1 d=1 t=46988
diao du lve 	調度略	c=1 d=1 t=57601
diao huan 	調換	c=1 d=1 t=35285
diao xian 	掉線	c=3 d=1 t=18518
diao xian shi 	掉線時	c=1 d=1 t=12924
diao yan 	調研	c=20 d=3.97362 t=59758
diao yan jie jue 	調研解決	c=1 d=1 t=24236
diao yong 	調用	c=48 d=0.396576 t=59920
die dai 	迭代	c=2 d=1.68729 t=7836
ding 	丁	c=1 d=1 t=27533
ding 	定	c=4 d=9.75808e-07 t=59920
ding bu 	頂部	c=1 d=1 t=34673
ding chang 	定長	c=1 d=1 t=19426
ding le 	定了	c=1 d=1 t=13297
ding qi 	定期	c=10 d=1.04099 t=42192
ding shi qi 	定時器	c=1 d=1 t=30310
ding wei 	定位	c=4 d=1 t=49917
ding xia 	定下	c=1 d=1 t=27369
ding xia lai 	定下來	c=1 d=1 t=3547
ding yi 	定義	c=37 d=0.0001027 t=59920
ding yi le 	定義了	c=3 d=1.89583 t=52067
ding zhe 	盯着	c=1 d=1 t=10320
ding zhe dian 	定這點	c=1 d=1 t=12875
ding zhi 	定製	c=1 d=1 t=16627
ding zhuo 	頂卓	c=6 d=1 t=54402
diu qi 	丟棄	c=1 d=1 t=36698
diu qi diao 	丟棄掉	c=1 d=1 t=32354
diu shi 	丟失	c=6 d=1.00963 t=57396
diu shi le 	丟失了	c=1 d=1 t=56929
dong 	動	c=1 d=0.1 t=58186
dong 	懂	c=1 d=0.1 t=35823
dong cheng 	東城	c=1 d=1 t=7827
dong tai 	動態	c=6 d=1 t=58490
dong tai ku 	動態庫	c=1 d=1 t=52373
dong tian 	冬天	c=1 d=1 t=14613
dong wu 	動物	c=2 d=1.9802 t=3596
dong xi 	東西	c=97 d=1.10522 t=59920
dong xi le 	東西了	c=1 d=1 t=25270
dong xi ne 	東西呢	c=1 d=1 t=33068
dong xing 	董星	c=20 d=0.00503553 t=59920
dong xing 	董興	c=14 d=1 t=56762
dong yang 	東陽	c=2 d=3.78297e-06 t=59920
dong yong 	動用	c=1 d=1 t=45868
dong zuo 	動作	c=11 d=1.99073 t=50634
dou 	都	c=158 d=0.851313 t=59920
dou bei 	都被	c=2 d=1 t=29317
dou bu neng 	都不能	c=1 d=1 t=40286
